ISO3,Year,Month,Total,Domestic,International,Total_OS,Passengers,Date,Region,Holiday_Count,Holiday_Names,Holiday_Season,Quarter,Month_Name,Hemisphere
ALB,2010,1,,,,117.35,117.35,2010-01-01,Other,2.0,"New Year's Day, New Year's Day (Day 2)",Winter_Holidays,Q1,January,Northern
ALB,2010,2,,,,86.535,86.535,2010-02-01,Other,1.0,Valentine's Day,Regular,Q1,February,Northern
ALB,2010,3,,,,103.795,103.795,2010-03-01,Other,3.0,"Mothers' Day, Summer Day, Nevruz Day",Spring_Holidays,Q1,March,Northern
ALB,2010,4,,,,102.038,102.038,2010-04-01,Other,8.0,"Good Friday, Good Friday (Orthodox), Easter Saturday (Orthodox)",Spring_Holidays,Q2,April,Northern
ALB,2010,5,,,,109.037,109.037,2010-05-01,Other,1.0,International Worker?s Day,Regular,Q2,May,Northern
ALB,2010,6,,,,126.159,126.159,2010-06-01,Other,1.0,Fathers' Day,Regular,Q2,June,Northern
ALB,2010,7,,,,181.095,181.095,2010-07-01,Other,0.0,None,Regular,Q3,July,Northern
ALB,2010,8,,,,226.824,226.824,2010-08-01,Other,0.0,None,Regular,Q3,August,Northern
ALB,2010,9,,,,148.392,148.392,2010-09-01,Other,2.0,"Mother Teresa Beatification Day, Eid al-Fitr",Regular,Q3,September,Northern
ALB,2010,10,,,,110.346,110.346,2010-10-01,Other,1.0,Halloween,Regular,Q4,October,Northern
ALB,2010,11,,,,93.342,93.342,2010-11-01,Other,3.0,"Feast of the Sacrifice, Flag and Independence Day, Liberation Day",Regular,Q4,November,Northern
ALB,2010,12,,,,131.909,131.909,2010-12-01,Other,4.0,"Christmas Eve, New Year's Eve, National Youth Day",Winter_Holidays,Q4,December,Northern
ALB,2011,1,,,,135.743,135.743,2011-01-01,Other,2.0,"New Year's Day, New Year's Day (Day 2)",Winter_Holidays,Q1,January,Northern
ALB,2011,2,,,,101.417,101.417,2011-02-01,Other,1.0,Valentine's Day,Regular,Q1,February,Northern
ALB,2011,3,,,,128.551,128.551,2011-03-01,Other,3.0,"Mothers' Day, Summer Day, Nevruz Day",Spring_Holidays,Q1,March,Northern
ALB,2011,4,,,,141.269,141.269,2011-04-01,Other,8.0,"Good Friday, Good Friday (Orthodox), Easter Saturday (Orthodox)",Spring_Holidays,Q2,April,Northern
ALB,2011,5,,,,136.785,136.785,2011-05-01,Other,1.0,International Worker?s Day,Regular,Q2,May,Northern
ALB,2011,6,,,,150.219,150.219,2011-06-01,Other,1.0,Fathers' Day,Regular,Q2,June,Northern
ALB,2011,7,,,,199.495,199.495,2011-07-01,Other,0.0,None,Regular,Q3,July,Northern
ALB,2011,8,,,,234.296,234.296,2011-08-01,Other,1.0,Eid al-Fitr,Summer_Holidays,Q3,August,Northern
ALB,2011,9,,,,174.046,174.046,2011-09-01,Other,1.0,Mother Teresa Beatification Day,Regular,Q3,September,Northern
ALB,2011,10,,,,142.567,142.567,2011-10-01,Other,1.0,Halloween,Regular,Q4,October,Northern
ALB,2011,11,,,,124.214,124.214,2011-11-01,Other,3.0,"Feast of the Sacrifice, Flag and Independence Day, Liberation Day",Regular,Q4,November,Northern
ALB,2011,12,,,,148.471,148.471,2011-12-01,Other,4.0,"Christmas Eve, New Year's Eve, National Youth Day",Winter_Holidays,Q4,December,Northern
ALB,2012,1,,,,144.599,144.599,2012-01-01,Other,2.0,"New Year's Day, New Year's Day (Day 2)",Winter_Holidays,Q1,January,Northern
ALB,2012,2,,,,97.871,97.871,2012-02-01,Other,1.0,Valentine's Day,Regular,Q1,February,Northern
ALB,2012,3,,,,118.722,118.722,2012-03-01,Other,3.0,"Mothers' Day, Summer Day, Nevruz Day",Spring_Holidays,Q1,March,Northern
ALB,2012,4,,,,127.083,127.083,2012-04-01,Other,8.0,"Good Friday, Holy Saturday, Easter Monday",Spring_Holidays,Q2,April,Northern
ALB,2012,5,,,,122.242,122.242,2012-05-01,Other,1.0,International Worker?s Day,Regular,Q2,May,Northern
ALB,2012,6,,,,137.492,137.492,2012-06-01,Other,1.0,Fathers' Day,Regular,Q2,June,Northern
ALB,2012,7,,,,174.767,174.767,2012-07-01,Other,0.0,None,Regular,Q3,July,Northern
ALB,2012,8,,,,200.973,200.973,2012-08-01,Other,1.0,Eid al-Fitr,Summer_Holidays,Q3,August,Northern
ALB,2012,9,,,,153.348,153.348,2012-09-01,Other,1.0,Mother Teresa Beatification Day,Regular,Q3,September,Northern
ALB,2012,10,,,,130.603,130.603,2012-10-01,Other,2.0,"Halloween, Feast of the Sacrifice",Regular,Q4,October,Northern
ALB,2012,11,,,,121.274,121.274,2012-11-01,Other,2.0,"Flag and Independence Day, Liberation Day",Regular,Q4,November,Northern
ALB,2012,12,,,,136.357,136.357,2012-12-01,Other,5.0,"Christmas Eve, New Year's Eve, National Youth Day",Winter_Holidays,Q4,December,Northern
ALB,2013,1,,,,126.844,126.844,2013-01-01,Other,2.0,"New Year's Day, New Year's Day (Day 2)",Winter_Holidays,Q1,January,Northern
ALB,2013,2,,,,101.829,101.829,2013-02-01,Other,1.0,Valentine's Day,Regular,Q1,February,Northern
ALB,2013,3,,,,128.941,128.941,2013-03-01,Other,6.0,"Mothers' Day, Good Friday, Holy Saturday",Spring_Holidays,Q1,March,Northern
ALB,2013,4,,,,125.627,125.627,2013-04-01,Other,1.0,Easter Monday,Spring_Holidays,Q2,April,Northern
ALB,2013,5,,,,133.094,133.094,2013-05-01,Other,5.0,"Good Friday (Orthodox), Easter Saturday (Orthodox), Easter Monday (Orthodox)",Regular,Q2,May,Northern
ALB,2013,6,,,,150.111,150.111,2013-06-01,Other,1.0,Fathers' Day,Regular,Q2,June,Northern
ALB,2013,7,,,,190.259,190.259,2013-07-01,Other,0.0,None,Regular,Q3,July,Northern
ALB,2013,8,,,,216.834,216.834,2013-08-01,Other,1.0,Eid al-Fitr,Summer_Holidays,Q3,August,Northern
ALB,2013,9,,,,172.452,172.452,2013-09-01,Other,1.0,Mother Teresa Beatification Day,Regular,Q3,September,Northern
ALB,2013,10,,,,147.855,147.855,2013-10-01,Other,2.0,"Halloween, Feast of the Sacrifice",Regular,Q4,October,Northern
ALB,2013,11,,,,120.15,120.15,2013-11-01,Other,2.0,"Flag and Independence Day, Liberation Day",Regular,Q4,November,Northern
